[METADATA]
Parameter,Value
Total Population,30917
Total Simulation Days,7

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,2489600.00,1244800
shower,8156609.83,233951
wash_bassin,2590186.01,1281945
wash_machine,3874608.00,26907
dish_washer,4171502.96,5381635
tanque,988615.49,248643

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
155,19.60,34.17,24.46,17.40,21.67,0.00,117.30
156,20.00,34.23,24.48,17.40,22.06,0.00,118.16
157,22.00,34.25,24.22,17.40,22.07,0.00,119.93
158,19.60,34.32,24.49,17.40,22.01,0.00,117.81
159,16.80,34.32,24.38,17.40,22.39,0.00,115.29
160,16.40,34.24,24.06,17.40,22.53,0.00,114.63
161,16.00,34.16,23.82,17.40,22.55,0.00,113.94
162,16.00,34.16,23.48,17.40,22.53,0.00,113.57
163,18.00,34.02,23.61,17.40,22.70,0.00,115.72
164,18.00,33.99,23.85,17.30,22.59,0.00,115.73
165,18.00,33.80,23.95,17.30,22.52,0.00,115.58
166,18.40,33.63,23.67,17.30,22.55,0.00,115.56
167,18.00,33.74,23.91,17.30,22.07,0.00,115.02
168,19.60,33.57,23.99,17.20,22.12,0.00,116.48
169,20.40,33.65,24.50,17.20,21.98,0.00,117.72
170,19.20,33.73,24.65,17.20,22.20,0.00,116.97
171,19.60,33.71,24.57,17.20,22.20,0.00,117.28
172,17.20,33.81,24.94,17.20,22.24,0.00,115.38
173,15.20,33.90,24.74,17.10,21.98,0.00,112.91
174,12.00,33.75,24.59,17.10,21.79,0.00,109.23
175,13.20,33.60,24.12,17.10,21.38,0.00,109.41
176,13.20,33.31,24.29,17.00,21.57,0.00,109.37
177,16.80,33.31,23.79,17.00,21.53,0.00,112.43
178,16.00,33.31,23.99,17.10,21.20,0.00,111.61
179,18.00,33.13,23.97,17.10,21.26,0.00,113.46
180,18.80,33.11,23.68,17.10,21.36,0.00,114.05
181,17.20,32.80,23.74,17.10,21.18,0.00,112.02
182,14.00,32.80,23.36,17.10,21.42,0.00,108.68
183,17.20,32.91,22.92,17.00,21.59,0.00,111.62
184,17.20,32.97,22.71,17.00,21.22,0.00,111.10
185,18.40,32.78,22.98,17.00,21.20,0.00,112.36
186,20.80,32.56,23.38,17.10,21.27,0.00,115.12
187,23.60,32.49,23.85,17.20,21.26,0.00,118.40
188,22.40,32.71,23.80,17.20,21.15,0.00,117.26
189,22.00,32.71,23.45,17.30,21.39,0.00,116.85
190,20.80,32.71,23.94,17.30,21.60,0.00,116.34
191,22.00,32.64,24.02,17.30,21.52,0.00,117.48
192,21.20,32.43,24.21,17.30,21.21,0.00,116.35
193,19.20,32.34,24.46,17.30,21.66,0.00,114.97
194,21.60,32.15,24.86,17.30,21.37,0.00,117.28
195,22.00,32.05,24.54,17.30,21.63,0.00,117.53
196,18.80,32.39,24.80,17.30,21.89,0.00,115.18
197,18.40,32.33,24.33,17.30,22.14,0.00,114.50
198,18.00,32.21,24.43,17.20,22.24,0.00,114.08
199,17.60,31.98,24.34,17.20,22.17,0.00,113.29
200,16.00,31.92,24.33,17.20,22.25,0.00,111.70
201,16.00,31.81,23.81,17.20,22.34,0.00,111.16
202,18.00,31.87,23.56,17.20,22.56,0.00,113.19
203,19.20,31.88,23.98,17.20,22.42,0.00,114.68
204,18.00,31.80,24.06,17.20,22.17,0.00,113.23
205,20.00,31.69,24.18,17.20,21.89,0.00,114.96
206,22.80,31.51,24.07,17.20,21.93,0.00,117.52
207,20.00,31.62,24.20,17.20,21.92,0.00,114.94
208,22.40,31.60,24.20,17.20,22.16,0.00,117.56
