[METADATA]
Parameter,Value
Total Population,155367
Total Simulation Days,1

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,4050448.42,892956
shower,5854537.88,167885
wash_bassin,1855011.21,919179
wash_machine,2773152.00,19258
dish_washer,2992687.47,3862989
tanque,708924.69,178650

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
624,29.99,22.09,16.50,12.00,14.13,0.00,94.71
625,29.74,22.18,16.62,12.00,13.84,0.00,94.38
626,29.95,22.18,16.46,12.00,13.79,0.00,94.37
627,29.90,22.11,16.66,12.00,13.94,0.00,94.61
628,29.78,22.03,16.59,12.00,13.77,0.00,94.16
629,29.95,22.05,16.75,12.00,13.68,0.00,94.44
630,29.78,22.16,16.63,12.00,13.67,0.00,94.24
631,29.82,22.25,16.63,12.00,13.57,0.00,94.27
632,29.95,22.31,16.78,12.00,13.74,0.00,94.78
633,29.82,22.42,16.47,12.00,14.22,0.00,94.92
634,30.07,22.42,16.51,12.00,14.51,0.00,95.50
635,30.28,22.42,16.32,12.00,14.40,0.00,95.41
636,30.41,22.29,16.18,11.90,14.44,0.00,95.21
637,30.58,22.08,16.07,11.90,14.66,0.00,95.29
638,30.74,22.15,16.01,11.90,14.55,0.00,95.36
639,30.95,22.19,15.60,11.90,14.54,0.00,95.19
640,31.04,22.04,15.42,12.00,14.54,0.00,95.05
641,31.00,22.04,15.49,12.00,14.30,0.00,94.83
642,30.87,21.95,15.30,12.00,14.33,0.00,94.45
643,30.87,22.05,15.90,12.00,14.05,0.00,94.88
644,30.83,21.97,16.23,12.00,14.19,0.00,95.22
645,30.83,22.00,16.77,12.00,14.32,0.00,95.92
646,30.70,22.00,16.73,12.00,14.07,0.00,95.49
647,30.53,21.93,16.84,12.00,14.26,0.00,95.56
648,30.58,21.93,17.07,12.00,14.21,0.00,95.79
649,30.74,21.83,17.29,12.00,14.24,0.00,96.10
650,30.95,21.91,17.35,12.00,14.32,0.00,96.54
651,31.00,22.11,17.38,12.00,14.18,0.00,96.66
652,31.16,22.11,16.96,12.00,13.81,0.00,96.04
653,31.12,22.28,16.59,12.00,13.52,0.00,95.51
654,30.74,22.28,16.11,12.00,13.43,0.00,94.57
655,30.70,22.43,15.87,12.00,13.56,0.00,94.55
656,30.49,22.29,15.79,11.90,13.66,0.00,94.13
657,30.37,22.37,15.67,11.90,13.62,0.00,93.91
658,30.20,22.42,15.70,11.80,13.65,0.00,93.77
659,30.53,22.42,15.61,11.80,13.63,0.00,94.00
660,30.66,22.29,15.40,11.80,13.64,0.00,93.78
661,30.58,22.48,15.57,11.80,13.72,0.00,94.15
662,30.58,22.48,15.53,11.80,13.64,0.00,94.03
663,30.87,22.50,15.39,11.70,13.79,0.00,94.25
664,30.83,22.38,15.16,11.60,13.40,0.00,93.37
665,30.70,22.38,15.51,11.60,13.45,0.00,93.64
666,30.74,22.38,15.54,11.70,13.32,0.00,93.68
667,30.58,22.38,15.57,11.70,13.73,0.00,93.95
668,30.87,22.38,15.51,11.70,13.94,0.00,94.40
669,30.87,22.45,15.33,11.70,13.76,0.00,94.12
670,30.83,22.38,15.35,11.70,13.82,0.00,94.08
671,30.74,22.38,15.34,11.70,13.89,0.00,94.06
672,30.79,22.27,15.47,11.70,13.90,0.00,94.13
673,30.83,22.21,15.45,11.70,13.79,0.00,93.97
674,30.87,22.22,15.38,11.70,13.63,0.00,93.81
675,30.83,22.22,15.58,11.70,13.73,0.00,94.06
676,30.79,22.16,15.37,11.70,13.93,0.00,93.96
677,30.79,22.16,15.32,11.70,13.81,0.00,93.78
678,30.45,22.16,15.20,11.70,14.02,0.00,93.53
679,30.49,21.98,15.52,11.70,14.06,0.00,93.75
680,30.32,21.91,15.42,11.70,14.08,0.00,93.43
681,30.41,22.06,15.43,11.60,14.17,0.00,93.67
682,30.62,22.06,15.59,11.60,14.39,0.00,94.26
683,30.53,22.06,15.37,11.60,14.43,0.00,94.00
684,30.53,22.06,15.45,11.70,14.42,0.00,94.16
685,30.28,22.13,15.31,11.70,14.56,0.00,93.98
686,30.24,22.13,15.46,11.70,14.52,0.00,94.05
687,29.99,22.25,15.30,11.70,14.84,0.00,94.08
688,29.95,22.25,15.19,11.70,15.22,0.00,94.31
689,30.03,22.25,15.34,11.70,15.24,0.00,94.56
